no,month,area,year,price,loc
514,4,전용면적 85㎡초과 102㎡이하,2019,6842,서울
515,4,전용면적 102㎡초과,2019,7683,서울
516,4,전체,2019,3682,인천
517,4,전용면적 60㎡이하,2019,3415,인천
518,4,전용면적 60㎡초과 85㎡이하,2019,3907,인천
519,4,전용면적 85㎡초과 102㎡이하,2019,3773,인천
520,4,전용면적 102㎡초과,2019,4808,인천
521,4,전체,2019,4411,경기
522,4,전용면적 60㎡이하,2019,4185,경기
523,4,전용면적 60㎡초과 85㎡이하,2019,4385,경기
524,4,전용면적 85㎡초과 102㎡이하,2019,4657,경기
525,4,전용면적 102㎡초과,2019,5332,경기
526,4,전체,2019,3927,부산
527,4,전용면적 60㎡이하,2019,3857,부산
528,4,전용면적 60㎡초과 85㎡이하,2019,3917,부산
529,4,전용면적 85㎡초과 102㎡이하,2019,4066,부산
530,4,전용면적 102㎡초과,2019,4344,부산
531,4,전체,2019,4015,대구
532,4,전용면적 60㎡이하,2019,3989,대구
533,4,전용면적 60㎡초과 85㎡이하,2019,4001,대구
534,4,전용면적 85㎡초과 102㎡이하,2019,4522,대구
535,4,전용면적 102㎡초과,2019,4087,대구
536,4,전체,2019,3313,광주
537,4,전용면적 60㎡이하,2019,3226,광주
538,4,전용면적 60㎡초과 85㎡이하,2019,3314,광주
