bno,bname,bstart,bend,bregister
224,광교신도시 생활대책 권리구제자 수의계약 공급공고,2010-07-15,2010-08-31,2010-07-15
225,[정정공고]광교신도시 연립주택용지 공급공고,2010-06-22,2010-06-24,2010-06-22
226,광교신도시 지구외도로사업 등에 따른 생활대책용지 공급공고 ,2010-06-10,2010-06-25,2010-06-10
227,광교신도시 연립주택용지 공급공고 ,2010-06-09,2010-06-24,2010-06-09
228,광교 비즈니스파크 민간사업자공모 공고 ,2010-05-07,2010-10-30,2010-05-07
229,광교신도시 근린생활용지 수의계약 공급 공고,2010-05-06,2010-08-31,2010-05-06
230,광교신도시 근린생활시설용지 재공급 공고,2010-04-16,2010-04-22,2010-04-16
231,안성공도지구 경쟁입찰대상 조성용지 공급공고,2005-07-27,2005-08-04,2010-04-13
232,안성공도택지개발지구 이주대상자 공급공고,2005-07-05,2005-07-23,2010-04-13
233,안성공도 및 구갈3지구 2순위 단독주택용지 신청대상 필지 알림,2006-04-06,2006-04-07,2010-04-13
234,안성공도 미분양 용지 공급공고,2005-09-09,2005-09-15,2010-04-13
235,안성공도 수의계약 안내,2005-09-28,2005-10-13,2010-04-13
236,[분양]안성공도 공동주택용지 3개블록 수의계약 공급중단 안내,2003-04-22,2003-04-24,2010-04-13
237,"안성공도지구 유치원, 종교 및 수의계약용지 공급공고",2005-11-23,2005-11-30,2010-04-13
238,[분양]안성공도지구 공동주택용지 공급공고,2003-03-26,2003-03-28,2010-04-13
239,"안성공도지구 근린생활 및 자족, 협의양도인 용지 공급공고",2005-10-11,2005-10-21,2010-04-13
240,[분양]안성공도지구 공동주택용지 수의계약 안내,2003-05-22,2003-05-29,2010-04-13
241,"안성공도 및 구갈3지구 단독,연립주택용지 분양공고",2006-04-17,2006-04-29,2010-04-13
242,안성공도 단독 선착순 수의계약 수정공고,2006-05-17,2006-10-24,2010-04-13
243,안성공도 대지공급 공고,2010-03-23,2010-05-01,2010-03-23
244,광교 근린생활용지 및 수의계약용지 공급공고,2010-03-19,2010-06-30,2010-03-19
245,광교 생활대책 권리상실자 수의계약 공고,2009-12-04,2009-12-23,2009-12-04
246,광교신도시 비지니스파크 용지공급 민간사업자 공모,2009-11-11,2009-11-24,2009-11-11
247,광교지구 도시지원시설용지5-3·위험물저장 및 처리시설용지1 공급안내,2009-10-29,2009-11-30,2009-10-29
248,광교지구 도시지원시설용지·위험물저장 및 처리시설용지 공급공고,2009-10-14,2009-10-27,2009-10-14
249,권선3지구 사회복지시설용지 공급관련 계약체결시 구비서류에 대한 변경공고,2009-10-12,2009-10-20,2009-10-13
250,권선3 택지지구내 사회복지시설용지 공급,2009-09-24,2009-10-06,2009-09-24
251,[정정공고]광교신도시 공동주택·도시지원시설용지 공급공고,2009-09-24,2009-10-15,2009-09-24
252,"안성공도택지개발지구 상업,준주거,주차장,자족시설용지 무이자할부 공급공고",2009-09-17,2009-10-12,2009-09-17
253,광교신도시 공동주택ㆍ도시지원시설용지 등 공급공고,2009-09-15,2009-10-09,2009-09-15
254,광교신도시 생활대책용지 명의변경 등 변경공고(2차),2009-08-31,2009-09-30,2009-09-01
255,광교신도시 생활대책용지 공급일정 등 변경공고,2009-05-29,2009-11-06,2009-05-29
256,안성공도택지개발지구 수의계약 대상용지 공급안내,2009-05-20,2009-05-25,2009-05-20
257,안성공도택지개발지구 자족시설ㆍ상업ㆍ준주거ㆍ주차장용지 공급공고,2009-04-27,2009-05-12,2009-04-27
258,광교신도시 생활대책용지 공급공고,2009-04-23,2009-06-22,2009-04-23
259,광교택지개발지구 공동주택용지 및 주상복합용지 공급공고,2009-04-13,2009-04-30,2009-04-13
260,안성공도 택지개발지구 수의계약 대상용지 공급공고,2008-11-10,2008-11-21,2008-11-10
261,안성공도 택지개발지구 분양대상용지 공급공고,2008-10-20,2008-10-31,2008-10-20
262,안성공도 자족시설 및 주차장용지 공급공고,2008-07-01,2008-08-22,2008-07-01
263,김포양촌 생산시설용지 공급공고,2007-12-20,2008-01-17,2007-12-20
264,"광교신도시 공동주택용지 공급(A5, A22) 안내",2007-12-14,2007-12-31,2007-12-14
265,안성공도(구갈3)택지개발지구 경쟁입찰대상 조성용지 공급공고 ,2007-11-05,2007-11-15,2007-11-05
266,광교신도시공동주택용지공급공고문( buy.gico.or.kr),2007-10-11,2007-10-25,2007-10-11
267,"안성공도 택지개발지구 단독 , 종교 및 유치원 공급안내",2007-02-27,2007-03-09,2007-02-27
268,안성공도 연립주택용지 분양,2006-10-25,2006-11-27,2006-10-25
